Section,University,Degree Name,Department,Major or Minor,Requirement Category,Mode,Course Code,Course Title,Course Description,Credits,Program URL,Degree Type,Entity,Issue,Degree Level,Source Catoid
CATALOG,University at Buffalo,"AI and Geospatial Analytics, BS",AI & Society,Major,Math Core (12 credits),required,MTH 114,Precalculus,"Covers pre-calculus algebra and trigonometry, emphasizing functions (transformations, combinations, and composite functions). Topics include graphing and applications of linear, inverse, quadratic, polynomial, and rational functions; limits and the derivatives; exponential and logarithmic functions and applications; and trigonometric functions emphasizing sine and cosine. A grade of C or better in this course meets the prerequisite for MTH 121, MTH 131, or MTH 141. Students who intend to take MTH 121 or MTH 131 may wish to consider MTH 113 as an alternative. The trigonometry covered in this course is not used in MTH 121 and MTH 131. Students who need additional background in algebra to prepare for Pre-Calculus should take MTH 112. Course is not open to students who have previously passed a higher level math course, i.e. MTH 108, MTH 115, MTH 121, MTH 122, MTH 131, MTH 136, MTH 137, MTH 138, MTH 139, MTH 141 or MTH 142. Students who have previously passed MTH 113 may wish to consider MTH 109 instead of MTH 114.",4,https://catalogs.buffalo.edu/preview_program.php?poid=8473&catoid=17,BS,,,Undergraduate,17
CATALOG,University at Buffalo,"AI and Geospatial Analytics, BS",AI & Society,Major,Math Core (12 credits),required,MTH 141,College Calculus I,"Beginning of a three-semester sequence in calculus for students of mathematics, natural sciences, and engineering. Covers differentiation and integration with applications. This course is the same as MTH 136 + 137 and course repeat rules will apply. Students should consult with their major department regarding any restrictions on their degree requirements.",4,https://catalogs.buffalo.edu/preview_program.php?poid=8473&catoid=17,BS,,,Undergraduate,17
CATALOG,University at Buffalo,"AI and Geospatial Analytics, BS",AI & Society,Major,Math Core (12 credits),required,MTH 142,College Calculus 2,Differentiation and integration of transcendental functions; infinite sequences; series and power series; integration methods; additional topics in analytic geometry. This course is the same as MTH 138 and MTH 139 and course repeat rules will apply. Students should consult with their major department regarding any restrictions on their degree requirements.,4,https://catalogs.buffalo.edu/preview_program.php?poid=8473&catoid=17,BS,,,Undergraduate,17
CATALOG,University at Buffalo,"AI and Geospatial Analytics, BS",AI & Society,Major,AI & Society Core (15 credits),required,AI 101,AI & Society,"This course is an introduction to the study of Artificial Intelligence (AI) and Society. Through the examination of case studies covering all sectors of society, it provides a balanced consideration of the advantages and disadvantages of using AI to advance the public good.",3,https://catalogs.buffalo.edu/preview_program.php?poid=8473&catoid=17,BS,,,Undergraduate,17
CATALOG,University at Buffalo,"AI and Geospatial Analytics, BS",AI & Society,Major,AI & Society Core (15 credits),required,AI 111,AI & Ethics,"This course introduces students to the ethics of artificial intelligence (AI). The course begins with an overview of the potential risks and benefits of AI. It then examines how artificial intelligence actually works. Once we’ve covered the basic ideas of AI-such as neural networks and machine learning-the course will survey major ethical theories and examine the so-called “alignment problem.” Major topics in AI ethics will then be discussed, such as algorithmic bias, AI warfare, and democratic integrity.",3,https://catalogs.buffalo.edu/preview_program.php?poid=8473&catoid=17,BS,,,Undergraduate,17
CATALOG,University at Buffalo,"AI and Geospatial Analytics, BS",AI & Society,Major,AI & Society Core (15 credits),required,AI 211,Technological Disruption and Diffusion,"This course surveys the history of human technologies and the way that they result in disruptions to pre-existing social patterns, from the rise of farming to the invention of the printing press to the latest developments in Artificial Intelligence. The goal of this course is to help students understand and situate today’s disruptive technologies in their historical context.",3,https://catalogs.buffalo.edu/preview_program.php?poid=8473&catoid=17,BS,,,Undergraduate,17
CATALOG,University at Buffalo,"AI and Geospatial Analytics, BS",AI & Society,Major,AI & Society Core (15 credits),required,AI 321,AI & Policy,"This course explores the intersection of politics, philosophy, and economics (PPE) within the rapidly evolving field of artificial intelligence. Through a combination of case studies and foundational readings, students will gain a better understanding of the implications AI has for the economy and society more broadly. Students will tackle the ethical dimensions of AI with help from the PPE toolkit, drawing on core concepts within economics and philosophy to explore the potential consequences AI has for economic dynamism, employment, and the future of work. Furthermore, students will engage with the nature of capitalism, feudalism, and socialism in the context of AI. They will assess whether AI exacerbates existing inequalities or provides opportunities for more equitable societal structures.",3,https://catalogs.buffalo.edu/preview_program.php?poid=8473&catoid=17,BS,,,Undergraduate,17
CATALOG,University at Buffalo,"AI and Geospatial Analytics, BS",AI & Society,Major,AI & Society Core (15 credits),required,AI 323,AI and Social Structures,"This course explores the intricate relationship between artificial intelligence (AI) and social structures from a social science perspective. Students will examine how AI technologies are both shaped by and shape various social, economic, political, and cultural dynamics. Through critical readings, case studies, and discussions, the course will address key themes such as the historical context of AI development, the impact of AI on labor markets and structures of inequality (e.g., gender, race, family, economic), ethical considerations, and the role of AI in surveillance and privacy. By the end of the course, students will gain a comprehensive understanding of the sociological implications of AI, including how these technologies influence and are influenced by social norms, power relations, and institutional frameworks. This course aims to equip students with the analytical tools to critically assess the societal impacts of AI and to engage thoughtfully with ongoing debates about the future of AI in society.",3,https://catalogs.buffalo.edu/preview_program.php?poid=8473&catoid=17,BS,,,Undergraduate,17
CATALOG,University at Buffalo,"AI and Geospatial Analytics, BS",AI & Society,Major,AI & Society Core (15 credits),required,AI 325,AI & The Information Environment,"Artificial Intelligence (AI) is developed and used in a rich information environment, that has been rapidly evolving in the last millennium. Today, more than ever before, we live in an all-around, 24/7, media-saturated world, and recent innovations in AI will potentially change our interaction with information in fundamental ways. In this course, we will consider AI as medium used for communication. To do so, we will situate AI in within the broader narrative or mass communication, and as a continuation of prior innovations, including writing, printing, radio, TV, websites, mobile phones, and video games. We will learn about (1) the history, (2) audience, (3) production, and (4) effects of mass communication in general, and AI in particular. A special emphasis will be put throughout the course on applying theories of and perspectives on mass communication and AI to real-world media, social problems, and examples. Looking towards the past, present, and the future, we will try to understand the role of mass media in general, and AI in particular, in the lives of individuals, groups, and society at large, considering how AI technology may threaten social stability but also makes us stronger.",3,https://catalogs.buffalo.edu/preview_program.php?poid=8473&catoid=17,BS,,,Undergraduate,17
CATALOG,University at Buffalo,"AI and Geospatial Analytics, BS",AI & Society,Major,AI & Technology Core (16 credits),required,AI 220,Applied Linear Algebra and Probability for AI,Introductory mathematics course assuming minimal mathematical background (non-calculus based) that introduces the foundations of math necessary to understand machine learning and AI technologies. This course is designed for students who do not plan to major in math or engineering. Key topics will include basic linear algebra and probability grounded in real-world examples of the use and interpretation of these techniques in AI applications.,4,https://catalogs.buffalo.edu/preview_program.php?poid=8473&catoid=17,BS,,,Undergraduate,17
CATALOG,University at Buffalo,"AI and Geospatial Analytics, BS",AI & Society,Major,AI & Technology Core (16 credits),required,AI 300,Applied Machine Learning,"This course provides a hands-on introduction to Machine Learning (ML), covering fundamental concepts, approaches, and applications. Students will explore some foundational ideas but focus largely on practical implementations of ML techniques in real-world settings, including text and video analysis. The course will be taught in Python and make use of real-world datasets. Topics include model building, model evaluation, supervised classification, large language modeling, unsupervised methods, ethical considerations in ML, and the intersection of machine learning and society. Throughout the course, students will engage in programming assignments that reinforce course concepts, as well as taking exams.",4,https://catalogs.buffalo.edu/preview_program.php?poid=8473&catoid=17,BS,,,Undergraduate,17
CATALOG,University at Buffalo,"AI and Geospatial Analytics, BS",AI & Society,Major,AI & Technology Core (16 credits),required,CSE 115,Introduction to Computer Science I,"Provides the fundamentals of computer science with an emphasis on applying programming skills to solve problems and increase human efficiency. Topics include variables, data types, expressions, control flow, functions, input/output, data storage, networking, security, selection, sorting, iteration and the use of aggregate data structures such as lists and more general collections. No previous programming experience required.",4,https://catalogs.buffalo.edu/preview_program.php?poid=8473&catoid=17,BS,,,Undergraduate,17
CATALOG,University at Buffalo,"AI and Geospatial Analytics, BS",AI & Society,Major,AI & Technology Core (16 credits),required,CSE 116,Introduction to Computer Science II,"Students will continue to develop the skills introduced in CSE 115 while exploring the details of program execution and the structure of large programs. Emphasizes design decisions that affect the efficiency, expandability, and maintainability of code while analyzing the differences amongst a variety of approaches. Design decisions analyzed include choice of data structures and object-oriented techniques such as encapsulation, polymorphism, and inheritance. Additional topics include the use of recursion, multithreading, parallelism, hardware, graph and tree traversals, asymptotic analysis, divide and conquer, databases, testing, and multi-language integration.",4,https://catalogs.buffalo.edu/preview_program.php?poid=8473&catoid=17,BS,,,Undergraduate,17
